Feature,Importance
V28,0.9355065720102261
V27,0.9312011870157751
V23,0.909832562507545
V18,0.9050225380226485
V24,0.8677561893388049
V8,0.8631962073607966
V13,0.8617441061507648
V4,0.8475745632787822
V21,0.8456380013038086
V25,0.837599696739302
V20,0.8347787133442186
V2,0.7957625306017351
V19,0.7864957613151681
V10,0.7786010026242808
V5,0.7718734028933958
Amount,0.764839314046752
V15,0.7485699336792587
V16,0.7282346768750859
V7,0.7231952032465718
V11,0.7214472036418954
V26,0.7200927618046251
V12,0.713976729641862
V6,0.7138029015187605
V22,0.690398713434758
V14,0.6814961096966434
V1,0.6766209178491722
V9,0.6746170008524527
V3,0.6678504893000499
V17,0.6055345447605728
