Feature,Importance
V28,0.9435930032223141
V23,0.9270204063263267
V27,0.8987866452767713
V24,0.8911822318800275
V20,0.8579199358391026
V13,0.8572883605173687
V25,0.857151308376985
V8,0.8509675590436897
V19,0.8337304982745742
V5,0.8279376239643969
V21,0.8242045053140097
V9,0.8071528161466655
V2,0.7986641420582449
V18,0.789760963570636
Amount,0.7735326566202199
V10,0.772889263708508
V15,0.7697917933237634
V7,0.7407268579899323
V16,0.7390766381693314
V12,0.7383681461358352
V14,0.7351117238210895
V22,0.7315842836563472
V1,0.7155335949497588
V6,0.7087759639755081
V4,0.7048953848875112
V3,0.6952224901452431
V11,0.6485751801189331
V26,0.6374736543968952
V17,0.5118108207376139
