Feature,Importance
V28,0.9348754803921021
V27,0.9286302164978071
V15,0.9119857937668762
V23,0.902492360027056
V8,0.8844541183353068
V20,0.8547441535173781
V4,0.8469407017530469
V21,0.8368486519768197
V13,0.804845577646979
V2,0.8017691893123475
V5,0.7953474405279536
V19,0.7908256359576952
V10,0.7850093056452445
V24,0.7750543848221856
Amount,0.7721680225191411
V22,0.7592373338636964
V18,0.7564016949878838
V25,0.7419489413973607
V7,0.7418819924362429
V16,0.7358046057988872
V3,0.7238443568374097
V6,0.721307033096729
V9,0.7165227901836398
V12,0.7107252015448247
V14,0.7067721505593437
V1,0.6963240614759174
V17,0.6417186240359558
V26,0.6340067407171015
V11,0.6268622958601273
