Feature,Importance
V28,0.9512230443015569
V23,0.9230719524848228
V27,0.9020353991888342
V8,0.892387716958228
V20,0.8625533127726627
V13,0.850389043603103
V21,0.8458042210271526
V25,0.8265727804603051
V2,0.8178149603142782
V9,0.813652354248837
V24,0.8034992387787439
V7,0.8030271888369608
V5,0.8002171842781672
V16,0.788053261379122
V1,0.7845790545398371
Amount,0.7787256696189641
V10,0.7742456931752887
V19,0.7698291775919125
V15,0.7595346547191189
V22,0.7480932556471672
V3,0.7465806128290273
V14,0.727898102262151
V6,0.7204472955917804
V18,0.7101382195055781
V12,0.7040266920292879
V4,0.6854807467306003
V26,0.6717780496307927
V17,0.6413530115023093
V11,0.6314305269909961
