Feature,Importance
V17,132.8632149029234
V14,73.42704277511413
V12,64.70411232806899
V7,57.529873003381326
V10,50.66858754928613
V3,48.09458810562907
V16,43.15434680864345
V8,32.482507863816764
V21,27.84973468636965
V5,21.619803327349707
V18,19.539565213679207
V1,19.45245794978024
V11,15.515865007786891
V27,11.774842215998898
V9,11.33208200930673
V4,9.790540129903546
V2,8.826919131541045
V23,8.64592992962598
V22,4.097264794198488
V6,3.417677819206393
V20,3.3460275403108684
V19,3.3307114855616007
V28,3.208966052114172
V25,2.6519693493789527
V13,1.349685456117319
V15,1.3425365173033623
Amount,1.1113655844918358
V24,0.8544480295705263
V26,0.7836326575619611
